StudentID,Name,Gender,Age,Grade,Major,Teacher
87,Patricia Mitchell,Female,22,73.33,Mathematics,
88,Shelly Adams,Female,21,90.2,Physics,Craig Harrison
89,Maria Gilbert,Male,22,60.31,Mathematics,Jennifer Powell
90,Justin Hubbard,Male,24,64.61,Engineering,Tammie Dickson
91,Charlene Ramirez,Male,A,58.63,Physics,Victoria Jordan
92,Douglas George,Male,22,99.9,Mathematics,Natalie Turner
93,Christopher Anderson,Male,21,59.61,Physics,Edward Todd
94,Jeffrey Holt DVM,Female,22,85.04,Biology,Elizabeth Berry
95,Megan Morris,Male,22,73.1,Chemistry,
96,Michelle Ortiz,Female,22,51.66,Engineering,Aaron Davis
97,Brenda Smith,Male,18,54.06,Chemistry,Nancy Phillips
98,Kristin Smith,Female,24,96.47,Chemistry,Tracy Gonzalez DDS
99,David Morris,Male,22,87.23,Biology,Brian Collier
100,Charles Harrington,Male,21,77.3,Computer Science,Amanda Jackson
101,Clayton Mitchell,Female,20,60.47,Mathematics,
102,Tyler Phillips,Female,23,50.32,Engineering,Bradley Jackson
103,Robert Martin,Male,23,88.63,Chemistry,Lindsey Allen
104,Sue Little,Male,23,65.61,Physics,Sarah Boyd
105,James Johnston,Male,18,60.7,Computer Science,Shane Cooke
106,Audrey Edwards,Male,19,58.62,Mathematics,Michelle Velasquez
107,Sandra Holt,Female,23,90.44,Engineering,Jose Harris
108,Bonnie Williams,Male,19,A,Chemistry,Olivia Smith
109,Anthony Henderson,Female,21,82.07,Computer Science,Taylor White
110,Richard Dalton,Female,18,96.27,Chemistry,Joseph Chavez
111,Catherine Turner,Female,A,94.59,Mathematics,
112,Pamela Peck,Male,24,84.02,Physics,Beverly Walker
113,Donna Martinez,Female,18,98.05,Chemistry,
114,Rachel Blanchard,Male,19,61.45,Biology,Brian Thomas
115,Michael Mercado,Female,C,50.98,Biology,Michael Downs
116,Angel Erickson,Male,22,96.09,Computer Science,Veronica Hardin
117,Brittany Gonzales,Female,20,63.22,Mathematics,Stephanie Gardner
118,Angela Lewis,Male,18,B,Engineering,Heather Dillon
119,Jason Flores,Female,23,61.2,Mathematics,Gregory Olsen
120,Jennifer Cowan,Male,D,63.92,Computer Science,Joseph Jenkins
121,Richard King,Female,20,95.47,Mathematics,Nathan Mcdonald
122,Tyler Galvan,Male,20,D,Engineering,Katie Dunn
123,Jennifer Bowers,Female,23,54.87,Engineering,Patrick Hamilton
124,Donald Aguilar,Female,C,78.77,Engineering,Caleb Ford
125,Lauren Weeks,Female,23,57.89,Physics,Angela Phillips
126,Julie Harrington,Male,19,53.58,Chemistry,Shannon Figueroa
127,Kenneth Gregory,Female,18,80.62,Mathematics,
128,Thomas Baker,Female,A,53.9,Biology,Pam Mooney
129,Pamela Miller,Female,20,73.59,Engineering,Miranda Leon
130,Joshua Lozano,Male,21,A,Engineering,Cassandra Daniels
131,Nichole Reynolds,Female,20,96.96,Engineering,Richard Brown
132,Jessica Thompson,Male,21,96.06,Chemistry,Samantha Farrell
133,Brenda Bates,Male,20,C,Biology,Lori Martin
134,Robert Andrews,Male,19,75.14,Computer Science,Anthony Torres
135,Brad Swanson,Male,20,82.52,Computer Science,Whitney Smith
136,Lawrence Morales,Female,24,96.25,Mathematics,Joe Campbell
137,Rachel Anderson,Male,21,99.55,Chemistry,
138,Mrs. Katherine Phillips,Male,24,51.65,Physics,Alison Willis
139,Kristin Roth,Male,A,98.48,Computer Science,Jonathan Petersen
140,Stacey Everett,Male,21,90.16,Computer Science,Amber Henry
141,Christopher Fuller,Male,20,53.75,Biology,Terri Fuentes
142,Yvonne Paul,Male,24,90.01,Biology,Andrea Griffin MD
143,David Walker,Male,21,83.13,Physics,Nicholas Barrett
144,David Glenn,Male,22,95.29,Mathematics,Warren Lawrence
145,Christopher Haley,Female,19,72.89,Biology,Shelley Shields
146,Brad Petersen,Female,20,75.17,Engineering,Patricia Hampton
147,Morgan Jones,Male,21,91.87,Mathematics,Julia Smith
148,Victoria Schultz,Female,24,74.19,Computer Science,
149,Joseph Barr,Female,19,76.32,Computer Science,David Patterson
150,Benjamin Simmons,Male,20,62.22,Chemistry,Timothy Scott
151,Megan Hughes,Female,19,66.52,Physics,Alyssa White
152,Kimberly Gomez,Female,22,64.38,Engineering,Jennifer Ray
153,Amanda West,Female,20,52.28,Engineering,Gwendolyn Macias
154,Hannah Allen,Female,D,79.15,Engineering,Kevin Morrow
155,Justin Green DDS,Male,21,92.13,Chemistry,Catherine Ward
156,Mary Hill,Male,C,88.52,Engineering,Alexandra Hill
157,Jacob Mcdonald,Male,A,62.33,Biology,Anthony Wagner
158,Lauren Diaz,Female,20,79.32,Engineering,Katherine Craig
159,Kelly Fowler,Female,21,74.52,Mathematics,Sarah Rivera
160,Melissa Brown,Female,18,90.83,Biology,Tabitha Dixon
161,Mrs. Sharon Bird,Female,18,67.67,Engineering,
162,Stacy Peterson,Male,24,51.83,Computer Science,Marcus Price
163,Heidi Peterson,Female,18,94.36,Chemistry,Cathy Sanchez
164,Cody Romero,Female,24,83.51,Engineering,Lori Smith
165,Brittany Jones,Male,A,59.09,Chemistry,Benjamin Nguyen
166,Jasmine Davis,Male,24,60.29,Biology,Thomas Rivera
167,Melissa Wells,Male,20,69.91,Biology,Edward Smith
168,Glenn Reed,Female,21,73.82,Biology,Ariel Hahn
169,Mary Gomez,Female,18,66.52,Biology,Brad Pope
170,Mariah Moss PhD,Female,22,75.78,Chemistry,Fernando Dyer
171,Cynthia Edwards,Male,18,94.62,Mathematics,
172,Joshua Bailey,Female,23,81.5,Chemistry,Omar Chambers
173,Monique Brown,Female,24,68.48,Chemistry,Richard Owen
174,Brenda Novak,Female,18,93.02,Engineering,Mariah Davis
175,Melissa Garcia,Male,23,84.79,Engineering,
176,Karen Ross,Female,20,79.69,Chemistry,Joel Sims
177,Michael Rogers,Female,21,75.83,Physics,Jacob Perez
178,Riley Shepherd,Male,24,54.39,Mathematics,Anthony Stokes
179,Jamie Crosby,Female,20,79.65,Biology,Edward Frank
180,Matthew Perry,Female,21,69.91,Biology,Richard Tucker
181,Brenda Jones,Female,23,77.52,Biology,Matthew Brewer
182,Brandy Wilkins,Male,18,56.2,Engineering,Allison Foster
183,Thomas Carpenter,Female,18,89.31,Engineering,Richard Fox
184,Brett Green MD,Male,18,75.6,Mathematics,John Caldwell
185,Steven Patterson,Female,21,91.55,Computer Science,Johnny Cain
186,Karen Garcia,Female,18,60.34,Mathematics,Sharon Juarez
187,Eric Pugh,Male,20,96.9,Chemistry,Christina Huber
188,Mallory Mclean,Male,20,78.91,Engineering,
189,Danielle Kramer,Female,18,53.78,Biology,Erin Obrien
190,April Moore,Female,22,65.69,Chemistry,Jody Ellis
191,Jackie Washington,Female,21,99.13,Physics,Nicole Ortiz
192,Carol Nguyen,Male,22,80.67,Physics,Michelle Dorsey
193,Kelly Andersen,Female,23,70.99,Computer Science,Bianca Fleming
194,Linda Moore,Male,24,95.78,Mathematics,James Rodriguez
195,Cynthia Haney,Male,18,68.06,Engineering,Shawn Hoffman
196,Gregg Martin Jr.,Female,22,87.36,Engineering,Jason Moore
197,Jeffrey Jordan,Male,21,57.31,Physics,Kaitlyn Davis
198,Joe Martinez,Female,23,84.86,Mathematics,Patricia Stephenson
199,Christopher Lewis,Male,21,74.57,Mathematics,Tracy Hinton
200,David Long,Female,22,71.23,Engineering,Sarah Cannon
201,Jessica Griffin,Male,24,61.58,Computer Science,Christopher Sanchez
202,Sandy Boyd,Male,23,99.37,Engineering,Suzanne Hamilton
203,Aaron Higgins,Male,19,56.18,Physics,Carlos Case
204,Angela Kerr,Male,23,60.17,Computer Science,Earl Howell
205,Mike Sandoval,Male,21,68.87,Biology,Kenneth Blair
206,Tiffany Mercado,Male,18,56.56,Mathematics,Stacy Powers
207,Margaret Brown,Female,18,96.77,Engineering,Edwin Hines
208,Martin Sullivan,Male,18,95.52,Computer Science,Monica Farmer
209,Amy Robertson,Female,23,71.91,Computer Science,Jennifer Oliver PhD
210,Christopher Torres,Male,23,74.62,Mathematics,Alvin Riggs
211,Jeffrey Mendez,Male,24,53.1,Computer Science,Sarah Day
212,John Guzman,Male,19,91.97,Biology,Taylor Wyatt
213,Albert Figueroa,Female,18,89.02,Physics,Eric Wang
214,Vincent Rollins,Male,22,69.66,Biology,Chad Price
215,Taylor Gaines,Female,19,73.85,Physics,Noah Owens
216,James Davis,Female,24,82.97,Mathematics,Maria Delacruz
217,Lisa Flores,Female,23,73.28,Chemistry,Kristin Patton
218,Anne Vargas,Male,23,63.66,Mathematics,Gary George
219,Luis Crawford,Female,21,64.87,Chemistry,Virginia Johnson
220,William Ortiz,Male,19,75.87,Computer Science,Mary Warren
221,Donald Rogers,Male,D,99.73,Mathematics,Daniel Eaton
222,Jessica Singleton,Female,18,74.5,Computer Science,Kimberly Doyle
223,Diana Boyle,Male,22,52.79,Biology,Joseph Lopez
224,Madison Sanchez,Female,21,96.93,Physics,Tiffany Shepard
225,Marc Rodriguez,Female,21,65.3,Mathematics,William Nunez
226,Scott Hughes,Male,19,51.99,Computer Science,Emily Nelson
227,Kyle Spencer,Female,24,53.61,Engineering,Shannon Clark
228,Heather Moody,Male,C,58.56,Physics,Catherine Glover
229,Tonya Powell,Female,23,81.71,Biology,Jasmine Mitchell
230,Michael Daniels,Male,18,68.4,Mathematics,John Randall
231,Amy Campbell,Male,18,95.87,Computer Science,James Roth
232,Jennifer Howard,Female,19,89.66,Physics,Lydia Powell
233,Tammy Goodwin,Female,20,66.04,Engineering,Richard Bolton
234,Nancy Cervantes,Male,18,99.31,Physics,Teresa Smith
235,Kelly Huffman,Female,24,83.32,Mathematics,Amy Burns
236,William Patterson,Male,21,50.87,Engineering,Frank Watson
237,Kenneth Lane,Male,24,73.15,Mathematics,Travis Smith
238,Melissa Reed,Female,23,95.52,Chemistry,Kristin Wilson
239,Michelle Smith,Male,19,64.8,Physics,Diane Smith
240,Paula Dyer,Male,19,96.34,Computer Science,Donald Harrell
241,Alvin Parker,Male,24,80.77,Engineering,Jessica Davis
242,Joseph Smith,Female,22,79.15,Mathematics,Shannon Harris
243,Ryan Martinez,Male,18,68.29,Chemistry,Laura Schwartz
244,Michael Patterson,Female,23,97.85,Mathematics,Tina Pearson
245,Carl Reed,Male,B,71.53,Mathematics,Richard Collier
246,Aaron Smith,Male,21,81.72,Physics,Kevin Melendez
247,Colleen Hess,Female,20,81.85,Physics,Breanna Boyer
248,Mark Miller,Male,21,82.17,Chemistry,Derek Stewart
249,Lauren Stark,Male,20,65.3,Computer Science,Jason Cline
250,Nancy Cole,Male,22,93.24,Physics,John Moyer
251,Ethan Harmon,Female,24,79.68,Engineering,Paula Fleming
252,Pamela Marsh,Female,21,69.42,Computer Science,Scott Gibbs
253,Dawn Francis,Male,24,66.11,Chemistry,Jessica Zavala
254,David Smith,Male,24,55.68,Physics,Derek Dunn
255,Jason Lewis,Female,23,80.51,Computer Science,Mary Roberts
256,Dr. William Shelton,Female,23,89.13,Biology,Stephanie Perez
257,Christopher Garcia,Female,21,71.12,Engineering,Jasmin Brown
258,Cynthia Chandler,Male,18,95.78,Mathematics,Thomas Quinn
259,Renee Washington,Male,21,56.28,Engineering,James Simon
260,Karen Sweeney,Male,18,74.39,Engineering,Sharon Williams
261,Angela Young,Female,22,82.12,Computer Science,Maria Armstrong
262,Julie Thomas,Female,20,78.48,Engineering,Trevor Orozco
263,Brittany Whitaker,Female,24,94.47,Biology,Joshua Dyer
264,Anthony Gray,Female,21,84.2,Engineering,Emily Mcdonald
265,Jacob Brooks,Female,23,91.25,Biology,Andrew Anderson
266,Courtney Wiggins,Female,23,83.11,Biology,Felicia Hogan
267,Christopher Wilson,Female,22,67.21,Physics,Jennifer Saunders
268,Tracey Brown,Male,18,63.63,Biology,Anna Roberts
269,Sean Carr,Male,20,67.5,Biology,Kristie Anderson
270,Ashley Benson,Male,21,70.41,Computer Science,Matthew Scott
271,Claudia Jackson,Female,21,91.34,Computer Science,Nichole Whitehead
272,Angela Valencia,Female,19,85.55,Chemistry,Thomas Dunn
273,John Wright,Female,23,91.34,Biology,Crystal Contreras
274,Christopher Medina,Male,21,96.26,Computer Science,Steven Marshall
275,Briana Quinn,Female,24,90.74,Engineering,
276,Jeffrey Delacruz,Male,22,98.11,Mathematics,Mary Lawson
277,Christopher Myers,Male,A,97.49,Biology,
278,Savannah Burns,Male,23,66.05,Biology,William Allen
279,Darrell Wilson,Female,21,69.62,Physics,Rachel Chan
280,Jacob Montgomery,Male,21,78.76,Computer Science,Daniel Pope
281,Christy Parsons,Male,19,84.53,Physics,Steven Taylor
282,Matthew Barnes,Female,19,73.24,Engineering,Bailey Knight
283,Kathryn Jones,Female,19,89.39,Chemistry,Jose Jefferson
284,Allison Robinson,Male,C,81.6,Computer Science,Amanda Harmon
285,Eric Singh,Male,24,79.79,Biology,Jessica Brown
286,Rachel Edwards,Female,20,57.27,Mathematics,
287,John Newman,Female,20,58.57,Biology,Ashley Austin
288,Andrew Carney,Male,22,65.66,Computer Science,Taylor Charles
289,Keith Lamb,Male,21,98.12,Chemistry,Sonya Austin
290,Danielle Pineda,Female,19,53.81,Computer Science,
291,Tina Hernandez,Female,20,98.01,Chemistry,Meghan Donovan
292,Anne Gamble,Female,21,73.86,Computer Science,Jennifer Wilson
293,Brian Hanna,Female,23,71.8,Mathematics,
294,William Mcguire,Male,23,92.34,Engineering,Toni Hill
295,Andrew Decker,Male,23,91.57,Biology,Carlos Mosley
296,Brandon Bennett,Female,19,56.7,Biology,Lisa Jones
297,Kenneth Lynch,Male,22,A,Physics,Kelsey Pearson
298,Kimberly Hogan,Female,20,C,Engineering,Scott Hamilton
299,William Sweeney,Male,20,66.16,Mathematics,Erik Chavez II
300,Jonathon Johnson,Male,18,55.42,Biology,Courtney Jones
301,Andrew Sanders,Female,19,79.61,Computer Science,Samuel Carter
302,Michael Pope,Female,23,89.02,Computer Science,Rebecca Williams
303,Brian Fletcher,Female,18,94.28,Computer Science,Eric Nelson
304,Ashley Jones,Male,22,98.58,Chemistry,William Torres
305,Alexander Park,Female,18,56.16,Engineering,Michael Henry
306,Carolyn Evans,Female,21,69.84,Chemistry,Kimberly Smith
307,Lynn Dodson,Male,20,52.43,Computer Science,Daniel Jones
308,Gary Gross,Male,23,81.79,Chemistry,Elaine Martinez
309,Peter Miller,Male,24,94.38,Biology,Calvin Adams
310,Mr. James Martinez,Male,23,84.36,Mathematics,Annette Waters
311,Michael Bennett,Male,24,69.44,Mathematics,Wanda Boyd
312,Tina Rogers,Female,18,88.0,Mathematics,Andrea Solomon
313,Angelica Sanchez,Female,24,99.83,Biology,Travis Obrien
314,John Thomas,Female,18,50.06,Computer Science,Francisco Gilmore
315,Rebecca Ayers,Male,23,91.4,Physics,Michael Lyons
316,Kevin Wallace,Female,19,66.31,Mathematics,Jamie Gonzalez
317,Lauren Russell,Male,19,87.35,Chemistry,David Wilson
318,Miss Brandi Underwood,Male,18,61.85,Chemistry,Julie Baker
319,Aaron Porter,Male,21,60.09,Computer Science,Danielle Thomas
320,Katelyn Duffy,Male,18,90.48,Physics,Matthew Hall
321,Kristopher Howard,Female,21,88.37,Engineering,
322,Sonya Martin,Male,18,90.56,Biology,Travis Lee
323,Patricia Cannon,Female,22,87.87,Biology,
324,Barbara Vega,Female,22,54.79,Chemistry,Christopher Leonard
325,Troy Jones,Female,18,94.14,Mathematics,Michael Gibson
326,Richard Thompson,Male,19,68.88,Mathematics,Marissa White
327,Cheryl Lucas,Male,21,60.98,Physics,William Figueroa
328,Adam Jones,Female,22,78.38,Engineering,Brittany Deleon
329,Ashley Winters,Female,21,67.29,Mathematics,Brandon Decker
330,Andrew Thompson,Male,20,85.49,Mathematics,Elizabeth Roberts
331,Phyllis Parker,Female,24,84.73,Chemistry,
332,Christina Rice,Male,23,92.51,Computer Science,Brian Allen MD
333,Benjamin Brennan,Female,C,B,Mathematics,Regina Smith
334,Michael Pugh,Female,19,89.98,Biology,Jose Lee
335,Amber Smith,Male,20,B,Mathematics,Michelle Williams
336,Tina Harris,Male,19,88.13,Mathematics,
337,Robert Reed,Female,23,78.34,Engineering,Michael Gates
338,Samantha Moran,Male,22,78.16,Biology,Richard Ponce
339,Victor Gilbert,Male,23,66.86,Physics,Brittany Bailey
340,Holly Cook,Female,20,58.04,Biology,Tamara Nelson
341,Tony Matthews,Female,23,58.65,Physics,Anthony Atkinson
342,Jennifer Jennings,Male,23,52.88,Engineering,Jimmy Tran
343,Andrew Aguilar,Male,22,90.27,Engineering,
344,Justin Newton,Female,22,87.2,Computer Science,Katie Guerra
345,Lauren Wolf,Male,23,92.84,Computer Science,Shelley Lynch
346,Michael Smith,Male,23,85.21,Chemistry,Ricky Williams
347,Craig Briggs,Female,20,58.39,Engineering,
348,Vanessa Glenn,Female,21,86.8,Mathematics,Stephanie Petersen
349,Whitney Gibson,Male,23,77.89,Biology,Brent Key
350,Dan Mcclain,Male,21,55.43,Physics,Timothy Stanley
351,Sarah Cannon,Female,24,95.26,Biology,Matthew Foster
352,Vernon Elliott,Female,24,95.12,Biology,Sandra Brown
353,Jeffrey Graham,Male,19,81.39,Biology,Tyler Dougherty
354,Rebecca Gomez,Male,A,70.98,Biology,Brenda Hart
355,Eugene Wilson,Male,20,61.9,Biology,Jason Vargas
356,Hannah Bell,Male,22,54.88,Computer Science,Kristen Mccullough
357,Paul Massey DDS,Female,B,90.3,Engineering,Mrs. Christine Thomas MD
358,Julie Davis,Male,21,98.34,Computer Science,Kathy Reed DDS
359,Mia Jones,Male,19,50.7,Biology,Elizabeth Gonzalez
360,Linda Rivers,Female,19,73.97,Biology,Douglas Miller
361,Eugene Mcmillan,Female,23,55.3,Physics,
362,Alexander Carter,Female,24,70.93,Biology,Marcus Kane
363,Kevin Hodges,Female,D,79.03,Biology,Dylan Wilson
364,Jon Scott,Female,19,71.46,Computer Science,Stanley Norris
365,Donna Davidson,Male,19,50.86,Biology,James Wheeler
366,Ashley Holt,Female,20,99.39,Mathematics,Kevin Harrell
367,Dr. Manuel Garza,Female,18,96.29,Computer Science,Willie Luna
368,Michael Hayes,Male,21,88.62,Mathematics,Mark Wright
369,Anna Owens,Male,19,70.03,Mathematics,Kimberly Sutton
370,Madison Lowery,Female,22,84.47,Biology,Steven Patterson
371,Tammy Carter,Male,21,85.49,Engineering,Joshua Schaefer
372,Antonio Allen,Male,19,67.01,Mathematics,Todd Casey
373,Lisa Cervantes,Female,19,51.98,Chemistry,
374,William Ellison,Female,20,81.12,Mathematics,Jesus Vega
375,Jeffrey Martinez,Female,18,97.4,Physics,Kelsey Pierce
376,Tracy Sawyer,Female,24,87.39,Engineering,
377,Kerry Richard,Male,18,61.4,Computer Science,James Parker
378,Michael Gilbert,Female,20,77.79,Physics,John Deleon
379,Nathan Gallagher,Male,22,B,Physics,Richard Zavala
380,Marcus Stevens,Male,24,77.33,Mathematics,Michelle Wilson
381,James Vega,Female,18,86.2,Physics,Melissa Gonzalez
382,Robert Snow,Male,22,74.34,Physics,Lisa Alvarez
383,Nathan Hernandez,Female,21,95.62,Engineering,Jennifer Robinson
384,Jeffrey Smith,Male,21,84.61,Mathematics,Michael Vasquez
385,Sara Watson,Female,18,67.62,Engineering,Bailey Gray
386,Peggy Stone,Male,18,80.62,Biology,
387,Tyler Roberts,Female,21,72.77,Mathematics,Rita Walters
388,Sarah Holder,Female,23,89.6,Physics,Brian Allen
389,Mrs. Shannon Rodriguez,Male,21,50.37,Computer Science,Travis Thompson
390,Jason Phillips,Female,24,79.28,Mathematics,Jeffrey Graham
391,Christian Smith,Female,18,51.17,Computer Science,Nicole Shaffer
392,Erica Banks,Male,C,98.97,Mathematics,
393,Jeffrey Glass,Male,18,75.38,Biology,Paige Gomez
394,Maria Young,Male,23,63.94,Engineering,Cody Werner
395,Aaron Leach,Male,20,55.53,Mathematics,
396,Steven Patterson,Male,19,67.08,Computer Science,Zachary Forbes
397,Raymond Ray,Female,18,81.7,Mathematics,Michelle Hernandez
398,John Gardner,Male,22,98.64,Computer Science,Mary Vasquez
399,Matthew Guzman,Female,18,54.72,Chemistry,
400,Robert Sullivan,Female,21,60.51,Mathematics,Tracey Wilkinson
401,Kelly Gray,Male,22,63.85,Engineering,Bruce Perez
402,Johnny Lopez,Female,22,88.3,Chemistry,Adriana Wells
403,Kristen Lewis,Female,19,53.95,Computer Science,Craig Gomez
404,Jennifer Clark,Female,18,94.72,Physics,William Wolf
405,Todd Rhodes,Female,20,60.95,Physics,Lauren Calhoun
406,Eric Chandler,Female,24,85.9,Mathematics,
407,Willie Martinez,Male,24,88.03,Engineering,Zachary Mcclure
408,Eric Allen,Female,22,94.65,Mathematics,Betty Cunningham
409,Tina Thomas,Female,22,60.38,Physics,David Scott
410,Laura Garrett,Male,20,86.16,Mathematics,James Bryan
411,Andrew Cole,Female,22,67.65,Mathematics,Robert Perez
412,Richard Roberson,Female,24,69.41,Physics,Kimberly Austin
413,Courtney Snyder,Female,21,75.42,Physics,Emily Miller
414,Brittany May,Male,20,56.56,Chemistry,Steven Blankenship
415,Caroline Miller,Male,A,67.94,Chemistry,
416,Matthew Martinez,Male,18,97.02,Engineering,Jill Gallagher
417,Alexander Reid,Female,23,59.03,Computer Science,Victoria Decker
418,Brooke Moyer,Female,23,65.76,Computer Science,Corey Moore
419,Christina Tyler,Male,23,90.36,Engineering,Jeffrey Mason
420,Jennifer Crane,Male,18,62.5,Physics,Jason Moore
421,Michael Douglas,Female,18,58.24,Engineering,Shawn Lee DDS
422,Steven Vega,Female,23,B,Engineering,David Ritter
423,Corey Herrera,Female,21,99.28,Chemistry,Michelle Santiago
424,Michael Gill,Female,22,70.67,Physics,Christopher Harvey
425,Taylor Alvarez,Female,22,69.8,Chemistry,Bradley Smith
426,Maria Dixon,Female,23,87.85,Mathematics,Carmen Hoffman DDS
427,Kimberly Patel,Male,20,53.14,Physics,
428,Amber Allen,Male,20,58.48,Biology,Mr. Daniel Snyder DDS
429,Michael Martinez,Female,22,85.99,Engineering,Brian Potter
430,Peter Woods,Male,24,65.98,Engineering,Mrs. Kristen Fowler
431,Jacob Morgan,Female,19,85.08,Physics,Michele Jennings
432,Dennis Chavez,Male,21,51.14,Biology,Miss Kimberly Curtis
433,Shane Davis,Male,21,79.52,Computer Science,Roger Park
